pair,folder,first,second,n_raters,first_better,second_better,ties,first_share,second_share,flip_rate,mean_rank_diff,mean_abs_rank_diff,std_rank_diff,majority_order
a_vs_b,01,a,b,10,10,0,0,1.0,0.0,0.0,-2.4,2.4,0.8,a > b
a_vs_b,02,a,b,10,4,6,0,0.4,0.6,0.4,0.2,1.8,2.039607805437114,b > a
a_vs_b,03,a,b,10,9,1,0,0.9,0.1,0.09999999999999998,-1.1,1.3,0.9433981132056604,a > b
a_vs_b,04,a,b,10,6,4,0,0.6,0.4,0.4,-0.6,1.4,1.42828568570857,a > b
a_vs_b,05,a,b,10,7,3,0,0.7,0.3,0.30000000000000004,-0.2,1.6,1.7776388834631178,a > b
a_vs_b,06,a,b,10,3,7,0,0.3,0.7,0.30000000000000004,0.3,1.5,1.676305461424021,b > a
a_vs_b,07,a,b,10,10,0,0,1.0,0.0,0.0,-2.0,2.0,0.4472135954999579,a > b
a_vs_b,08,a,b,10,9,1,0,0.9,0.1,0.09999999999999998,-1.3,1.5,1.1,a > b
a_vs_b,09,a,b,10,2,8,0,0.2,0.8,0.19999999999999996,1.2,1.8,1.4696938456699071,b > a
a_vs_b,10,a,b,10,6,4,0,0.6,0.4,0.4,-0.6,1.4,1.42828568570857,a > b
a_vs_b,11,a,b,10,8,2,0,0.8,0.2,0.19999999999999996,-0.8,1.6,1.6,a > b
a_vs_b,12,a,b,10,5,5,0,0.5,0.5,0.5,0.4,1.4,1.4966629547095767,a > b
a_vs_b,13,a,b,10,1,9,0,0.1,0.9,0.09999999999999998,1.0,1.2,0.7745966692414834,b > a
a_vs_b,14,a,b,10,6,4,0,0.6,0.4,0.4,-0.3,1.1,1.1,a > b
a_vs_b,15,a,b,10,8,2,0,0.8,0.2,0.19999999999999996,-1.7,2.3,1.6763054614240214,a > b
c_vs_d,01,c,d,10,8,2,0,0.8,0.2,0.19999999999999996,-0.8,1.2,0.9797958971132713,c > d
c_vs_d,02,c,d,10,2,8,0,0.2,0.8,0.19999999999999996,0.6,1.0,0.8000000000000002,d > c
c_vs_d,03,c,d,10,1,9,0,0.1,0.9,0.09999999999999998,1.3,1.5,1.0999999999999999,d > c
c_vs_d,04,c,d,10,2,8,0,0.2,0.8,0.19999999999999996,0.8,1.4,1.3266499161421599,d > c
c_vs_d,05,c,d,10,5,5,0,0.5,0.5,0.5,0.2,1.2,1.2489995996796797,c > d
c_vs_d,06,c,d,10,7,3,0,0.7,0.3,0.30000000000000004,-0.7,1.3,1.268857754044952,c > d
c_vs_d,07,c,d,10,0,10,0,0.0,1.0,0.0,1.8,1.8,0.4,d > c
c_vs_d,08,c,d,10,3,7,0,0.3,0.7,0.30000000000000004,0.3,1.1,1.1,d > c
c_vs_d,09,c,d,10,5,5,0,0.5,0.5,0.5,-0.2,1.6,1.661324772583615,c > d
c_vs_d,10,c,d,10,6,4,0,0.6,0.4,0.4,-0.2,1.2,1.2489995996796797,c > d
c_vs_d,11,c,d,10,6,4,0,0.6,0.4,0.4,-0.4,1.2,1.2,c > d
c_vs_d,12,c,d,10,4,6,0,0.4,0.6,0.4,0.2,1.4,1.5362291495737217,d > c
c_vs_d,13,c,d,10,5,5,0,0.5,0.5,0.5,0.0,1.2,1.2649110640673518,c > d
c_vs_d,14,c,d,10,7,3,0,0.7,0.3,0.30000000000000004,-0.5,1.1,1.02469507659596,c > d
c_vs_d,15,c,d,10,10,0,0,1.0,0.0,0.0,-1.7,1.7,0.6403124237432849,c > d
